brand,name,price,breadcrumbs,product_url
Pilgrim,Matte Bullet Lipstick - 04,Rs. 386,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-matte-bullet-lipstick-04
Maybelline,Powder Matte - Almond Pink,Rs. 190,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-powder-matte-almond-pink
Maybelline,Super Stay Matte - Pioneer 20,Rs. 396,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-pioneer-20
FACES CANADA,Comfy Matte Wow Lipstick-07,Rs. 239,Home/Personal Care/Lipstick,https://www.myntra.com/faces-canada-comfy-matte-wow-lipstick-07
Maybelline,Ultimatte Slim Lipstick,Rs. 311,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-ultimatte-slim-lipstick
LOreal,Color Riche Satin Lipstick,Rs. 594,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Super Stay Matte - Founder 115,Rs. 449,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-founder-115
Maybelline,Superstay Vinyl Ink Lipstick,Rs. 517,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-vinyl-ink-lipstick
LOreal,Color Riche Satin Lipstick,Rs. 509,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Super Stay Matte - Savant,Rs. 381,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-savant
Pilgrim,Dubai Bling Lipstick- 05,Rs. 419,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-dubai-bling-lipstick-05
LOreal,Color Riche Satin Lipstick,Rs. 509,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Nude Nuance Matte Lipstick 657,Rs. 190,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-nude-nuance-matte-lipstick-657
Renee,Liquid Lipstick 4ml Nude Lake,Rs. 525,Home/Personal Care/Lipstick,https://www.myntra.com/renee-liquid-lipstick-4ml-nude-lake
Maybelline,Super Stay Matte - Ambitious,Rs. 389,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-ambitious
Earth Rhythm,Lip & Cheek Tint - Cherry 5ml,Rs. 299,Home/Personal Care/Lipstick,https://www.myntra.com/earth-rhythm-lip-cheek-tint-cherry-5ml
MARS,Matte Muse Mousse Lipstick,Rs. 269,Home/Personal Care/Lipstick,https://www.myntra.com/mars-matte-muse-mousse-lipstick
Maybelline,02 Soft Wine Matte Lipstick,Rs. 235,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-02-soft-wine-matte-lipstick
LOreal,Color Riche Satin Lipstick,Rs. 551,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Lakme,Forever Matte Liquid Lip,Rs. 297,Home/Personal Care/Lipstick,https://www.myntra.com/lakme-forever-matte-liquid-lip
ELLE 18,3-Pcs Liquid Lipstick Kit,Rs. 312,Home/Personal Care/Lipstick,https://www.myntra.com/elle-18-3-pcs-liquid-lipstick-kit
LOreal,Color Riche Satin Lipstick,Rs. 594,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-satin-lipstick
Maybelline,Liquid Lipstick -Get Undressed,Rs. 231,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-get-undressed
Pilgrim,Glitter Lipstick - 07,Rs. 419,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-glitter-lipstick-07
Maybelline,Liquid Lipstick - Charmer,Rs. 381,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-liquid-lipstick-charmer
Fashion Colour,5-in-1 Lipstick Matte - 01,Rs. 98,Home/Personal Care/Lipstick,https://www.myntra.com/fashion-colour-5-in-1-lipstick-matte-01
Hilary Rhoda,Lipstick 4 g - Cosmic Candy-01,Rs. 194,Home/Personal Care/Lipstick,https://www.myntra.com/hilary-rhoda-lipstick-4-g-cosmic-candy-01
Maybelline,Super Stay Matte - 75 Fighter,Rs. 381,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-super-stay-matte-75-fighter
ETUDE,Dear Darling Water Tint - 01,Rs. 405,Home/Personal Care/Lipstick,https://www.myntra.com/etude-dear-darling-water-tint-01
Mamaearth,Creamy Matte Cranberry Crush,Rs. 359,Home/Personal Care/Lipstick,https://www.myntra.com/mamaearth-creamy-matte-cranberry-crush
Lakme,Xtraordin-airy Lip Mousse,Rs. 594,Home/Personal Care/Lipstick,https://www.myntra.com/lakme-xtraordin-airy-lip-mousse
Renee,Set Of 4 Very Matte Lipsticks,Rs. 515,Home/Personal Care/Lipstick,https://www.myntra.com/renee-set-of-4-very-matte-lipsticks
Maybelline,Superstay Lipstick - Lippy,Rs. 500,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-superstay-lipstick-lippy
MARS,3 Pcs Queen of Mattes Lipstick,Rs. 469,Home/Personal Care/Lipstick,https://www.myntra.com/mars-3-pcs-queen-of-mattes-lipstick
Pilgrim,Matte Me Up Liquid Lipstick-07,Rs. 321,Home/Personal Care/Lipstick,https://www.myntra.com/pilgrim-matte-me-up-liquid-lipstick-07
Maybelline,660 Touch Of Spice Lipstick,Rs. 184,Home/Personal Care/Lipstick,https://www.myntra.com/maybelline-660-touch-of-spice-lipstick
Mamaearth,Creamy Matte Tulip Magenta,Rs. 359,Home/Personal Care/Lipstick,https://www.myntra.com/mamaearth-creamy-matte-tulip-magenta
LOreal,Color Riche Lipstick 630,Rs. 560,Home/Personal Care/Lipstick,https://www.myntra.com/loreal-color-riche-lipstick-630
